# Detector log started : 2026-07-06 21:15:55.159
# Port                 : /dev/cu.usbmodem142101  Baud: 115200
# Author               : (unset)
# Threshold            : 20 mV
# Columns              : pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
#
pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
2026-07-06 21:17:00.863	367	320035	84	1.1500	20
2026-07-06 21:17:01.371	368	320619	92	1.1500	20
2026-07-06 21:17:01.372	369	320623	23	1.1500	20
2026-07-06 21:17:03.654	370	322909	224	1.1500	20
2026-07-06 21:17:04.250	371	323480	27	1.1500	20
2026-07-06 21:17:04.858	372	324047	34	1.1500	20
2026-07-06 21:17:05.662	373	324934	20	1.1500	20
2026-07-06 21:17:07.250	374	326450	21	1.1500	20
2026-07-06 21:17:07.250	375	326477	23	1.1500	20
2026-07-06 21:17:08.272	376	327548	73	1.1500	20
2026-07-06 21:17:08.780	377	327957	20	1.1500	20
2026-07-06 21:17:09.657	378	328871	52	1.1500	20
2026-07-06 21:17:11.156	379	330382	84	1.1500	20
2026-07-06 21:17:11.470	380	330684	23	1.1500	20
2026-07-06 21:17:12.356	381	331601	194	1.1500	20
2026-07-06 21:17:12.749	382	331943	21	1.1500	20
2026-07-06 21:17:14.163	383	333437	99	1.1500	20
2026-07-06 21:17:15.675	384	334948	52	1.1500	20
2026-07-06 21:17:16.349	385	335572	125	1.1500	20
2026-07-06 21:17:17.260	386	336478	30	1.1500	20
2026-07-06 21:17:17.750	387	336967	100	1.1500	20
2026-07-06 21:17:17.751	388	336980	64	1.1500	20
2026-07-06 21:17:18.557	389	337730	83	1.1500	20
2026-07-06 21:17:18.558	390	337785	55	1.1500	20
2026-07-06 21:17:20.277	391	339522	56	1.1500	20
2026-07-06 21:17:21.159	392	340371	74	1.1500	20
2026-07-06 21:17:21.287	393	340530	96	1.1500	20
2026-07-06 21:17:21.359	394	340623	37	1.1600	20
2026-07-06 21:17:22.449	395	341728	136	1.1600	20
2026-07-06 21:17:23.950	396	343167	114	1.1500	20
2026-07-06 21:17:25.455	397	344699	93	1.1500	20
2026-07-06 21:17:27.354	398	346613	22	1.1500	20
2026-07-06 21:17:28.154	399	347409	22	1.1500	20
2026-07-06 21:17:29.272	400	348464	20	1.1500	20
2026-07-06 21:17:29.658	401	348853	53	1.1500	20
2026-07-06 21:17:29.791	402	348959	59	1.1500	20
2026-07-06 21:17:29.792	403	348999	34	1.1500	20
2026-07-06 21:17:31.449	404	350673	34	1.1500	20
2026-07-06 21:17:31.767	405	350998	41	1.1500	20
2026-07-06 21:17:35.854	406	355093	28	1.1400	20
2026-07-06 21:17:42.248	407	361447	40	1.1300	20
2026-07-06 21:17:43.956	408	363226	84	1.1200	20
2026-07-06 21:17:47.074	409	366295	28	1.1200	20
2026-07-06 21:17:48.854	410	368116	108	1.1100	20
2026-07-06 21:17:49.174	411	368373	298	1.1200	20
2026-07-06 21:17:49.659	412	368845	20	1.1200	20
2026-07-06 21:17:51.272	413	370485	46	1.1100	20
